casename,slab_energy,enforced_lattice_strain,enforced_height,strain,mostrain
mos55_0.97,-566.42856365,0.97,0.0,-0.011322511477565,-0.0113246050398015
mos55_1.03,-566.74029467,1.03,0.0,0.0144141217776987,0.0144230593649255
mos55_1.0,-568.65609546,1.0,0.0,0.0008283595622252,0.0008283565860313
mose55_0.97,-523.19133106,0.97,0.0,-0.0123101271334056,-0.0123090700831707
mose55_1.03,-523.34017023,1.03,0.0,0.01331906347,0.0133595957475191
mose55_1.0,-525.11661862,1.0,0.0,-0.0001625836959086,-0.0001625708641227
mos55_0.94,-559.24818971,0.94,0.0,-0.0221041793301906,-0.0220660506831401
mose55_0.94,-516.78358473,0.94,0.0,-0.0230659296052595,-0.0230830701012816
mose55_0.90,-499.49488541,0.9,0.0,-0.0352479392339539,-0.0352707462765021
mos55_0.90,-540.24760485,0.9,0.0,-0.034104165662231,-0.0341060757627433
